title,ratings,numofRatings,First Recommendation is: ,Second Recommendation is: ,Third Recommendation is: ,Fourth Recommendation is: 
Robin Hood: Men in Tights (1993),2.5892857142857144,56,Wag the Dog (1997),Down Periscope (1996),As Good As It Gets (1997),"Craft, The (1996)"
Robin Hood: Prince of Thieves (1991),3.2266666666666666,75,Cinema Paradiso (1988),"Great Escape, The (1963)",Ulee's Gold (1997),"Craft, The (1996)"
Robocop 3 (1993),1.7272727272727273,11,"River Wild, The (1994)",Michael (1996),Little Women (1994),Some Like It Hot (1959)
"Rock, The (1996)",3.693121693121693,378,"River Wild, The (1994)",Broken Arrow (1996),G.I. Jane (1997),Con Air (1997)
Rocket Man (1997),2.4081632653061225,49,Basic Instinct (1992),Down Periscope (1996),Waterworld (1995),Cape Fear (1991)
Roman Holiday (1953),4.102941176470588,68,Spawn (1997),Jungle2Jungle (1997),Tin Cup (1996),Searching for Bobby Fischer (1993)
Romeo Is Bleeding (1993),3.0,37,Ulee's Gold (1997),Dante's Peak (1997),"Wrong Trousers, The (1993)",Kiss the Girls (1997)
Romper Stomper (1992),3.0,5,Full Metal Jacket (1987),Cape Fear (1991),Cop Land (1997),Unforgiven (1992)
Romy and Michele's High School Reunion (1997),3.061224489795918,98,Ulee's Gold (1997),Tombstone (1993),Under Siege (1992),Unforgiven (1992)
"Room with a View, A (1986)",3.985074626865672,134,Star Trek: The Motion Picture (1979),"Sex, Lies, and Videotape (1989)",Sense and Sensibility (1995),"Hunchback of Notre Dame, The (1996)"
Roommates (1995),3.230769230769231,13,Con Air (1997),Seven Years in Tibet (1997),Face/Off (1997),Down Periscope (1996)
Roseanna's Grave (For Roseanna) (1997),2.8,5,Bound (1996),Beautiful Girls (1996),"Devil's Advocate, The (1997)",Dante's Peak (1997)
Rosencrantz and Guildenstern Are Dead (1990),3.888888888888889,90,Cop Land (1997),Lost Highway (1997),What's Eating Gilbert Grape (1993),Cool Hand Luke (1967)
Rosewood (1997),3.6666666666666665,114,Pinocchio (1940),Miracle on 34th Street (1994),Star Trek: The Motion Picture (1979),Mimic (1997)
Rough Magic (1995),2.5,2,Kiss the Girls (1997),"Boot, Das (1981)","English Patient, The (1996)",L.A. Confidential (1997)
Ruby in Paradise (1993),3.130434782608696,23,Mystery Science Theater 3000: The Movie (1996),"Saint, The (1997)",Conan the Barbarian (1981),Star Trek: The Motion Picture (1979)
Rudy (1993),3.3125,64,Star Trek III: The Search for Spock (1984),Kolya (1996),"Boot, Das (1981)","Room with a View, A (1986)"
"Ruling Class, The (1972)",3.875,16,"Craft, The (1996)",Dante's Peak (1997),Ulee's Gold (1997),As Good As It Gets (1997)
Rumble in the Bronx (1995),3.4482758620689653,174,"Edge, The (1997)",Jackie Chan's First Strike (1996),Cool Hand Luke (1967),Alien: Resurrection (1997)
"Run of the Country, The (1995)",3.25,4,Alien (1979),Annie Hall (1977),Amadeus (1984),Aliens (1986)
S.F.W. (1994),3.0,2,Army of Darkness (1993),"Birdcage, The (1996)",Conan the Barbarian (1981),Eraser (1996)
Sabrina (1954),3.796875,64,Jungle2Jungle (1997),Under Siege (1992),Father of the Bride Part II (1995),"Devil's Advocate, The (1997)"
Sabrina (1995),3.5,190,GoldenEye (1995),My Fair Lady (1964),G.I. Jane (1997),Absolute Power (1997)
Safe (1995),4.0,13,Home Alone (1990),My Fair Lady (1964),Mr. Smith Goes to Washington (1939),Murder at 1600 (1997)
Safe Passage (1994),3.0,2,Batman (1989),Field of Dreams (1989),While You Were Sleeping (1995),Miracle on 34th Street (1994)
"Saint of Fort Washington, The (1993)",5.0,2,,,,
"Saint, The (1997)",3.1234177215189876,316,Down Periscope (1996),"Ghost and the Darkness, The (1996)",Michael (1996),Eraser (1996)
Salut cousin! (1996),2.0,2,Ulee's Gold (1997),Titanic (1997),"Godfather, The (1972)",L.A. Confidential (1997)
"Santa Clause, The (1994)",3.097560975609756,82,Good Will Hunting (1997),Kiss the Girls (1997),"Craft, The (1996)",Jungle2Jungle (1997)
Santa with Muscles (1996),5.0,2,,,,
"Savage Nights (Nuits fauves, Les) (1992)",3.0,3,Chasing Amy (1997),Ghost (1990),"Fish Called Wanda, A (1988)","Remains of the Day, The (1993)"
"Scarlet Letter, The (1926)",3.0,2,Star Trek: The Wrath of Khan (1982),Young Guns (1988),Star Trek VI: The Undiscovered Country (1991),Willy Wonka and the Chocolate Factory (1971)
"Scarlet Letter, The (1995)",2.4,5,George of the Jungle (1997),Butch Cassidy and the Sundance Kid (1969),Brazil (1985),Annie Hall (1977)
Schindler's List (1993),4.466442953020135,298,Seven Years in Tibet (1997),"Edge, The (1997)","Boot, Das (1981)","Great Escape, The (1963)"
Schizopolis (1996),3.0,4,Benny & Joon (1993),Men in Black (1997),Monty Python and the Holy Grail (1974),Much Ado About Nothing (1993)
"Scout, The (1994)",2.6666666666666665,12,Cool Hand Luke (1967),Michael (1996),"Great Escape, The (1963)",In & Out (1997)
Scream (1996),3.4414225941422596,478,Scream 2 (1997),Seven (Se7en) (1995),Starship Troopers (1997),"Nightmare on Elm Street, A (1984)"
Scream 2 (1997),3.2169811320754715,106,"Crow, The (1994)",Scream (1996),"Sound of Music, The (1965)","Nutty Professor, The (1996)"
Scream of Stone (Schrei aus Stein) (1991),3.0,1,,,,
Screamers (1995),2.652173913043478,46,My Fair Lady (1964),On Golden Pond (1981),Miracle on 34th Street (1994),Ben-Hur (1959)
"Search for One-eye Jimmy, The (1996)",2.6666666666666665,3,Down Periscope (1996),"Full Monty, The (1997)",Chasing Amy (1997),"People vs. Larry Flynt, The (1996)"
Searching for Bobby Fischer (1993),3.9057971014492754,138,Ulee's Gold (1997),"Rainmaker, The (1997)",Cop Land (1997),G.I. Jane (1997)
"Second Jungle Book: Mowgli & Baloo, The (1997)",2.0,6,Back to the Future (1985),Beavis and Butt-head Do America (1996),"Cable Guy, The (1996)","Craft, The (1996)"
"Secret Adventures of Tom Thumb, The (1993)",2.6,5,"Boot, Das (1981)","Bridge on the River Kwai, The (1957)",Dead Poets Society (1989),Quiz Show (1994)
"Secret Agent, The (1996)",3.0,6,E.T. the Extra-Terrestrial (1982),Dances with Wolves (1990),"Crying Game, The (1992)","Devil's Advocate, The (1997)"
"Secret Garden, The (1993)",3.5443037974683542,79,Kiss the Girls (1997),Ulee's Gold (1997),Swingers (1996),"Professional, The (1994)"
"Secret of Roan Inish, The (1994)",3.859154929577465,71,"Manchurian Candidate, The (1962)","Professional, The (1994)",James and the Giant Peach (1996),True Romance (1993)
Secrets & Lies (1996),4.265432098765432,162,"Crow, The (1994)","Ice Storm, The (1997)","Good, The Bad and The Ugly, The (1966)",Star Trek III: The Search for Spock (1984)
Selena (1997),3.625,16,2001: A Space Odyssey (1968),Star Trek: The Motion Picture (1979),Ace Ventura: Pet Detective (1994),Dumbo (1941)
Sense and Sensibility (1995),4.0111940298507465,268,Fly Away Home (1996),Emma (1996),"Room with a View, A (1986)","Philadelphia Story, The (1940)"
Senseless (1998),2.4285714285714284,7,Lost Highway (1997),Donnie Brasco (1997),Con Air (1997),Austin Powers: International Man of Mystery (1997)
Serial Mom (1994),2.814814814814815,54,Ed Wood (1994),Lawrence of Arabia (1962),"Nightmare Before Christmas, The (1993)",True Romance (1993)
Set It Off (1996),3.4210526315789473,19,Clueless (1995),Under Siege (1992),George of the Jungle (1997),Monty Python's Life of Brian (1979)
Seven (Se7en) (1995),3.847457627118644,236,Good Will Hunting (1997),"Nightmare on Elm Street, A (1984)",Cape Fear (1991),"Devil's Advocate, The (1997)"
Seven Years in Tibet (1997),3.458064516129032,155,Outbreak (1995),Philadelphia (1993),"River Wild, The (1994)",Interview with the Vampire (1994)
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5416666666666665,72,Kiss the Girls (1997),Outbreak (1995),Star Trek: The Motion Picture (1979),Ulee's Gold (1997)
"Sex, Lies, and Videotape (1989)",3.4752475247524752,101,Crash (1996),Chinatown (1974),Harold and Maude (1971),"Adventures of Priscilla, Queen of the Desert, The (1994)"
"Sexual Life of the Belgians, The (1994)",1.5,2,Ulee's Gold (1997),Crash (1996),Sense and Sensibility (1995),Emma (1996)
Sgt. Bilko (1996),2.5675675675675675,74,Raging Bull (1980),"Devil's Advocate, The (1997)","Close Shave, A (1995)",Down Periscope (1996)
Shadow Conspiracy (1997),2.8636363636363638,44,Batman Forever (1995),"Peacemaker, The (1997)","Last of the Mohicans, The (1992)",Jungle2Jungle (1997)
Shadow of Angels (Schatten der Engel) (1976),1.0,1,,,,
"Shadow, The (1994)",2.888888888888889,45,Beautiful Girls (1996),"Ghost and the Darkness, The (1996)","Room with a View, A (1986)",Cinema Paradiso (1988)
Shadowlands (1993),3.9358974358974357,78,Rosewood (1997),Crash (1996),That Thing You Do! (1996),Kolya (1996)
Shadows (Cienie) (1988),1.0,1,,,,
"Shaggy Dog, The (1959)",3.0,30,Crash (1996),Tomorrow Never Dies (1997),Fly Away Home (1996),Bonnie and Clyde (1967)
Shall We Dance? (1937),3.7058823529411766,17,"Rainmaker, The (1997)",Scream 2 (1997),Fly Away Home (1996),"Frighteners, The (1996)"
Shall We Dance? (1996),4.260869565217392,46,Patton (1970),Lone Star (1996),Miracle on 34th Street (1994),Alien: Resurrection (1997)
Shallow Grave (1994),3.8181818181818183,66,Crimson Tide (1995),Benny & Joon (1993),Ulee's Gold (1997),"Maltese Falcon, The (1941)"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.576923076923077,26,Grumpier Old Men (1995),Father of the Bride Part II (1995),Outbreak (1995),"Magnificent Seven, The (1954)"
"Shawshank Redemption, The (1994)",4.445229681978798,283,Happy Gilmore (1996),Glory (1989),Austin Powers: International Man of Mystery (1997),"River Wild, The (1994)"
She's So Lovely (1997),2.7358490566037736,53,"Nightmare on Elm Street, A (1984)",Tombstone (1993),Ace Ventura: Pet Detective (1994),Batman Returns (1992)
She's the One (1996),3.0136986301369864,73,Carrie (1976),"Deer Hunter, The (1978)",Kiss the Girls (1997),Nikita (La Femme Nikita) (1990)
Shiloh (1997),2.8333333333333335,12,Ace Ventura: Pet Detective (1994),"River Wild, The (1994)",Butch Cassidy and the Sundance Kid (1969),Raging Bull (1980)
Shine (1996),3.9224806201550386,129,Kiss the Girls (1997),Ulee's Gold (1997),Ace Ventura: Pet Detective (1994),True Lies (1994)
"Shining, The (1980)",3.825242718446602,206,Bonnie and Clyde (1967),Chinatown (1974),"Peacemaker, The (1997)",True Romance (1993)
"Shooter, The (1995)",2.6666666666666665,3,Alien (1979),Annie Hall (1977),Arsenic and Old Lace (1944),Army of Darkness (1993)
Shooting Fish (1997),2.5,10,Apocalypse Now (1979),Blade Runner (1982),Army of Darkness (1993),Die Hard: With a Vengeance (1995)
Shopping (1994),2.0,1,,,,
Short Cuts (1993),3.7761194029850746,67,Amistad (1997),"Hunchback of Notre Dame, The (1996)","Sex, Lies, and Videotape (1989)","Lost World: Jurassic Park, The (1997)"
"Show, The (1995)",3.0,2,Full Metal Jacket (1987),Dead Poets Society (1989),Fried Green Tomatoes (1991),"Sex, Lies, and Videotape (1989)"
Showgirls (1995),1.9565217391304348,23,"Ice Storm, The (1997)",Rosewood (1997),Bonnie and Clyde (1967),Henry V (1989)
"Silence of the Lambs, The (1991)",4.28974358974359,390,Alien: Resurrection (1997),Basic Instinct (1992),"Crying Game, The (1992)",Shine (1996)
"Silence of the Palace, The (Saimt el Qusur) (1994)",3.0,1,,,,
"Simple Twist of Fate, A (1994)",3.2,10,Murder at 1600 (1997),Beautiful Girls (1996),"Rainmaker, The (1997)",Kiss the Girls (1997)
"Simple Wish, A (1997)",1.6666666666666667,3,"Saint, The (1997)","Devil's Advocate, The (1997)",Evita (1996),"Game, The (1997)"
Singin' in the Rain (1952),3.9927007299270074,137,"Abyss, The (1989)",Gattaca (1997),12 Angry Men (1957),Donnie Brasco (1997)
Sirens (1994),2.983050847457627,59,"Magnificent Seven, The (1954)",Wag the Dog (1997),"Cable Guy, The (1996)",Bound (1996)
Six Degrees of Separation (1993),3.77027027027027,74,Spawn (1997),Amistad (1997),Outbreak (1995),Batman (1989)
"Sixth Man, The (1997)",3.2222222222222223,9,Conan the Barbarian (1981),"First Wives Club, The (1996)",Father of the Bride Part II (1995),Spawn (1997)
Sleeper (1973),3.6341463414634148,82,Benny & Joon (1993),Everyone Says I Love You (1996),Kiss the Girls (1997),Fly Away Home (1996)
Sleepers (1996),3.514792899408284,169,Kiss the Girls (1997),Murder at 1600 (1997),"Deer Hunter, The (1978)",Absolute Power (1997)
Sleepless in Seattle (1993),3.539906103286385,213,That Thing You Do! (1996),Tin Cup (1996),Grease (1978),"River Wild, The (1994)"
Sleepover (1995),3.0,1,,,,
Sliding Doors (1998),2.6,5,Everyone Says I Love You (1996),In & Out (1997),Event Horizon (1997),Contact (1997)
Sling Blade (1996),4.198529411764706,136,Ed Wood (1994),Lone Star (1996),Arsenic and Old Lace (1944),Fly Away Home (1996)
"Slingshot, The (1993)",3.5,2,Dead Poets Society (1989),"Fugitive, The (1993)","Time to Kill, A (1996)",When Harry Met Sally... (1989)
Sliver (1993),2.4054054054054053,37,G.I. Jane (1997),Stargate (1994),Eraser (1996),Bram Stoker's Dracula (1992)
Small Faces (1995),2.0,1,,,,
"Smile Like Yours, A (1997)",2.88,25,Heat (1995),Fargo (1996),"Silence of the Lambs, The (1991)","Truth About Cats & Dogs, The (1996)"
Smilla's Sense of Snow (1997),3.1666666666666665,48,Dumbo (1941),"Peacemaker, The (1997)","Graduate, The (1967)",Rear Window (1954)
Smoke (1995),3.6216216216216215,74,Absolute Power (1997),Austin Powers: International Man of Mystery (1997),Conan the Barbarian (1981),My Fair Lady (1964)
Sneakers (1992),3.513333333333333,150,G.I. Jane (1997),Fly Away Home (1996),Good Will Hunting (1997),Rosewood (1997)
Snow White and the Seven Dwarfs (1937),3.7093023255813953,172,Dumbo (1941),Miracle on 34th Street (1994),Pinocchio (1940),Cinderella (1950)
So Dear to My Heart (1949),3.25,4,"Crow, The (1994)",Clueless (1995),Cinema Paradiso (1988),Broken Arrow (1996)
So I Married an Axe Murderer (1993),3.0526315789473686,95,"Frighteners, The (1996)",Austin Powers: International Man of Mystery (1997),Jackie Chan's First Strike (1996),Mystery Science Theater 3000: The Movie (1996)
Solo (1996),1.8333333333333333,12,Fly Away Home (1996),"Edge, The (1997)","Truth About Cats & Dogs, The (1996)",Secrets & Lies (1996)
Some Folks Call It a Sling Blade (1993),4.2926829268292686,41,Sling Blade (1996),Conan the Barbarian (1981),Die Hard: With a Vengeance (1995),Seven Years in Tibet (1997)
Some Kind of Wonderful (1987),3.6610169491525424,59,Amistad (1997),Fly Away Home (1996),"Ghost and the Darkness, The (1996)","Craft, The (1996)"
Some Like It Hot (1959),3.984375,128,"Long Kiss Goodnight, The (1996)","Cable Guy, The (1996)",Kiss the Girls (1997),Jackie Brown (1997)
Some Mother's Son (1996),4.5,2,"Piano, The (1993)",Fried Green Tomatoes (1991),Young Frankenstein (1974),Babe (1995)
Somebody to Love (1994),1.0,2,,,,
Someone Else's America (1995),5.0,1,,,,
Something to Talk About (1995),2.769230769230769,26,Jackie Brown (1997),Absolute Power (1997),Fly Away Home (1996),Jungle2Jungle (1997)
Somewhere in Time (1980),3.426829268292683,82,Donnie Brasco (1997),Star Trek VI: The Undiscovered Country (1991),What's Eating Gilbert Grape (1993),Tombstone (1993)
Son in Law (1993),2.4871794871794872,39,"Ice Storm, The (1997)",Cinema Paradiso (1988),Crash (1996),Big Night (1996)
Sophie's Choice (1982),3.896551724137931,58,Mother (1996),William Shakespeare's Romeo and Juliet (1996),Waterworld (1995),True Romance (1993)
Soul Food (1997),3.169491525423729,59,"Close Shave, A (1995)",Pink Floyd - The Wall (1982),"Last of the Mohicans, The (1992)",Raging Bull (1980)
"Sound of Music, The (1965)",3.765765765765766,222,Scream 2 (1997),Mary Poppins (1964),My Fair Lady (1964),Grease (1978)
Space Jam (1996),2.774193548387097,93,Secrets & Lies (1996),Jackie Chan's First Strike (1996),Ulee's Gold (1997),G.I. Jane (1997)
"Spanish Prisoner, The (1997)",4.0,1,,,,
Spanking the Monkey (1994),3.074074074074074,27,"Cable Guy, The (1996)",Platoon (1986),Alien: Resurrection (1997),"Devil's Advocate, The (1997)"
Spawn (1997),2.6153846153846154,143,Outbreak (1995),"Crow, The (1994)",Basic Instinct (1992),Stargate (1994)
"Specialist, The (1994)",2.25,20,"Boot, Das (1981)","African Queen, The (1951)","Killing Fields, The (1984)",Gone with the Wind (1939)
Species (1995),2.8666666666666667,45,Ulee's Gold (1997),"Philadelphia Story, The (1940)",Shine (1996),Being There (1979)
Speechless (1994),3.0833333333333335,36,Seven Years in Tibet (1997),Absolute Power (1997),G.I. Jane (1997),Amistad (1997)
Speed (1994),3.6478260869565218,230,Good Will Hunting (1997),Back to the Future (1985),Fly Away Home (1996),Pretty Woman (1990)
Speed 2: Cruise Control (1997),2.1315789473684212,38,My Fair Lady (1964),Benny & Joon (1993),As Good As It Gets (1997),Conan the Barbarian (1981)
Spellbound (1945),3.933333333333333,30,"Edge, The (1997)","Hunchback of Notre Dame, The (1996)",Austin Powers: International Man of Mystery (1997),"Cable Guy, The (1996)"
Sphere (1998),2.926829268292683,41,Being There (1979),On Golden Pond (1981),Mr. Smith Goes to Washington (1939),Cool Hand Luke (1967)
Spice World (1997),2.1153846153846154,26,Cinema Paradiso (1988),Singin' in the Rain (1952),"Postino, Il (1994)",Dave (1993)
Spirits of the Dead (Tre passi nel delirio) (1968),2.5,2,Alien (1979),Aliens (1986),Annie Hall (1977),Apocalypse Now (1979)
"Spitfire Grill, The (1996)",3.804123711340206,97,"Nightmare on Elm Street, A (1984)",Dragonheart (1996),Good Will Hunting (1997),Real Genius (1985)
Sprung (1997),2.0,3,,,,
Spy Hard (1996),2.511627906976744,43,In the Name of the Father (1993),Arsenic and Old Lace (1944),"Magnificent Seven, The (1954)","Room with a View, A (1986)"
Squeeze (1996),1.6666666666666667,3,"Saint, The (1997)",Fly Away Home (1996),"Devil's Advocate, The (1997)",Ulee's Gold (1997)
Stag (1997),2.111111111111111,9,Rumble in the Bronx (1995),Mars Attacks! (1996),Welcome to the Dollhouse (1995),Patton (1970)
Stalingrad (1993),3.1666666666666665,12,Searching for Bobby Fischer (1993),Cinema Paradiso (1988),Pretty Woman (1990),Father of the Bride Part II (1995)
Stalker (1979),3.5454545454545454,11,Apt Pupil (1998),As Good As It Gets (1997),"Birdcage, The (1996)","Boot, Das (1981)"
Stand by Me (1986),3.881057268722467,227,Donnie Brasco (1997),Shine (1996),Platoon (1986),Die Hard: With a Vengeance (1995)
Star Kid (1997),5.0,3,,,,
"Star Maker, The (Uomo delle stelle, L') (1995)",3.1666666666666665,12,Courage Under Fire (1996),"Edge, The (1997)","Devil's Advocate, The (1997)","Close Shave, A (1995)"
Star Maps (1997),3.0526315789473686,19,Beauty and the Beast (1991),Waterworld (1995),"Last of the Mohicans, The (1992)",Pinocchio (1940)
Star Trek III: The Search for Spock (1984),3.111111111111111,171,Star Trek: The Motion Picture (1979),Star Trek IV: The Voyage Home (1986),Star Trek: Generations (1994),"Lost World: Jurassic Park, The (1997)"
Star Trek IV: The Voyage Home (1986),3.4472361809045227,199,Cop Land (1997),Star Trek III: The Search for Spock (1984),Jungle2Jungle (1997),Star Trek: First Contact (1996)
Star Trek V: The Final Frontier (1989),2.3968253968253967,63,"Ice Storm, The (1997)",Bonnie and Clyde (1967),"Rainmaker, The (1997)",Apt Pupil (1998)
Star Trek VI: The Undiscovered Country (1991),3.279503105590062,161,Star Trek III: The Search for Spock (1984),"Manchurian Candidate, The (1962)",Star Trek: The Motion Picture (1979),Secrets & Lies (1996)
Star Trek: First Contact (1996),3.66027397260274,365,Star Trek: Generations (1994),Star Trek IV: The Voyage Home (1986),Star Trek: The Wrath of Khan (1982),"Fugitive, The (1993)"
Star Trek: Generations (1994),3.336206896551724,116,Star Trek III: The Search for Spock (1984),"Philadelphia Story, The (1940)",Star Trek: First Contact (1996),William Shakespeare's Romeo and Juliet (1996)
Star Trek: The Motion Picture (1979),3.034188034188034,117,Ulee's Gold (1997),Rosewood (1997),Star Trek III: The Search for Spock (1984),"Room with a View, A (1986)"
Star Trek: The Wrath of Khan (1982),3.8155737704918034,244,Ulee's Gold (1997),"Manchurian Candidate, The (1962)","Wrong Trousers, The (1993)",Star Trek IV: The Voyage Home (1986)
Star Wars (1977),4.359589041095891,584,"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),Austin Powers: International Man of Mystery (1997)
Stargate (1994),3.141732283464567,127,"Ghost and the Darkness, The (1996)",My Best Friend's Wedding (1997),Fly Away Home (1996),"Game, The (1997)"
"Stars Fell on Henrietta, The (1995)",2.3333333333333335,3,Army of Darkness (1993),Blade Runner (1982),"Clockwork Orange, A (1971)",Cinema Paradiso (1988)
Starship Troopers (1997),3.2322274881516586,211,Down Periscope (1996),Grumpier Old Men (1995),Maverick (1994),Alien: Resurrection (1997)
"Steal Big, Steal Little (1995)",2.5714285714285716,7,Trainspotting (1996),Grosse Pointe Blank (1997),"Firm, The (1993)","First Wives Club, The (1996)"
Stealing Beauty (1996),3.375,64,G.I. Jane (1997),Ace Ventura: Pet Detective (1994),Crash (1996),"Great Escape, The (1963)"
Steel (1997),2.1578947368421053,19,In the Line of Fire (1993),My Left Foot (1989),One Fine Day (1996),Fried Green Tomatoes (1991)
Stefano Quantestorie (1993),1.0,1,,,,
Stephen King's The Langoliers (1995),2.413793103448276,29,"Lost World: Jurassic Park, The (1997)",Crimson Tide (1995),"Full Monty, The (1997)",Fly Away Home (1996)
"Sting, The (1973)",4.058091286307054,241,Butch Cassidy and the Sundance Kid (1969),Dumbo (1941),"Wrong Trousers, The (1993)",Miracle on 34th Street (1994)
Stonewall (1995),4.2,5,Henry V (1989),Much Ado About Nothing (1993),"Clockwork Orange, A (1971)",Like Water For Chocolate (Como agua para chocolate) (1992)
"Story of Xinghua, The (1993)",3.2,5,"Devil's Own, The (1997)",Bound (1996),"Ghost and the Darkness, The (1996)",Lost Highway (1997)
Strange Days (1995),3.264367816091954,87,Hoop Dreams (1994),Like Water For Chocolate (Como agua para chocolate) (1992),Spawn (1997),Strictly Ballroom (1992)
Stranger in the House (1997),2.4285714285714284,7,Die Hard 2 (1990),"Game, The (1997)","Good, The Bad and The Ugly, The (1966)",True Lies (1994)
"Stranger, The (1994)",3.0,3,Bound (1996),"English Patient, The (1996)",Emma (1996),Mighty Aphrodite (1995)
Strawberry and Chocolate (Fresa y chocolate) (1993),3.272727272727273,11,"Ice Storm, The (1997)",Fantasia (1940),Rear Window (1954),Primal Fear (1996)
Street Fighter (1994),2.75,8,Arsenic and Old Lace (1944),Beautiful Girls (1996),Ben-Hur (1959),"Devil's Own, The (1997)"
"Streetcar Named Desire, A (1951)",3.816326530612245,98,Alien: Resurrection (1997),True Romance (1993),Scream 2 (1997),"Devil's Advocate, The (1997)"
Strictly Ballroom (1992),4.028846153846154,104,"Manchurian Candidate, The (1962)",Ulee's Gold (1997),Lone Star (1996),Butch Cassidy and the Sundance Kid (1969)
Striking Distance (1993),2.5833333333333335,12,Cop Land (1997),G.I. Jane (1997),"Peacemaker, The (1997)",Michael (1996)
Stripes (1981),3.8,5,Star Wars (1977),Under Siege (1992),Monty Python and the Holy Grail (1974),Indiana Jones and the Last Crusade (1989)
Striptease (1996),2.2388059701492535,67,"Ice Storm, The (1997)","Edge, The (1997)",Spawn (1997),G.I. Jane (1997)
Stuart Saves His Family (1995),2.125,16,"Killing Fields, The (1984)",Pink Floyd - The Wall (1982),"Devil's Advocate, The (1997)","Close Shave, A (1995)"
"Stupids, The (1996)",2.0,17,"Adventures of Priscilla, Queen of the Desert, The (1994)","Room with a View, A (1986)",Harold and Maude (1971),Secrets & Lies (1996)
SubUrbia (1997),3.6666666666666665,12,"Magnificent Seven, The (1954)","Nightmare Before Christmas, The (1993)",Being There (1979),Apt Pupil (1998)
"Substance of Fire, The (1996)",3.25,4,Bound (1996),Dead Man Walking (1995),"Game, The (1997)",Toy Story (1995)
"Substitute, The (1996)",2.693877551020408,49,"Ice Storm, The (1997)",Gattaca (1997),Jungle2Jungle (1997),Mother (1996)
Sudden Death (1995),2.723404255319149,47,Ulee's Gold (1997),"Ice Storm, The (1997)",Arsenic and Old Lace (1944),"Postino, Il (1994)"
Sudden Manhattan (1996),1.5,2,G.I. Jane (1997),Air Force One (1997),Seven Years in Tibet (1997),Amistad (1997)
"Sum of Us, The (1994)",3.5454545454545454,11,Grumpier Old Men (1995),"Good, The Bad and The Ugly, The (1966)",Hoop Dreams (1994),Highlander (1986)
"Sunchaser, The (1996)",3.0,1,,,,
Sunset Blvd. (1950),4.2,65,"Hunchback of Notre Dame, The (1996)",Cop Land (1997),"Frighteners, The (1996)",Chinatown (1974)
Sunset Park (1996),2.5,8,Die Hard 2 (1990),"Sound of Music, The (1965)",Pretty Woman (1990),Fantasia (1940)
Super Mario Bros. (1993),2.076923076923077,26,Mimic (1997),Kolya (1996),G.I. Jane (1997),Seven Years in Tibet (1997)
Supercop (1992),3.5384615384615383,65,Mother (1996),In & Out (1997),"Devil's Advocate, The (1997)",Beavis and Butt-head Do America (1996)
Surviving Picasso (1996),3.1052631578947367,19,Raging Bull (1980),"Mask, The (1994)","Crow, The (1994)",Sneakers (1992)
Surviving the Game (1994),2.4545454545454546,11,Fly Away Home (1996),One Fine Day (1996),Father of the Bride Part II (1995),Ed Wood (1994)
Suture (1993),2.25,4,Bonnie and Clyde (1967),"Shining, The (1980)",What's Eating Gilbert Grape (1993),Under Siege (1992)
"Swan Princess, The (1994)",2.857142857142857,7,"Clockwork Orange, A (1971)",Benny & Joon (1993),Clerks (1994),Evita (1996)
"Sweet Hereafter, The (1997)",3.772727272727273,44,Pinocchio (1940),Michael (1996),Conan the Barbarian (1981),One Fine Day (1996)
Sweet Nothing (1995),3.0,1,,,,
Swept from the Sea (1997),2.4285714285714284,7,"Boot, Das (1981)",Spawn (1997),"Devil's Own, The (1997)",Chasing Amy (1997)
Swimming with Sharks (1995),3.574468085106383,47,Being There (1979),Amistad (1997),G.I. Jane (1997),My Left Foot (1989)
Swingers (1996),3.828025477707006,157,Harold and Maude (1971),"Maltese Falcon, The (1941)",Outbreak (1995),Alien (1979)
Swiss Family Robinson (1960),3.358974358974359,39,Everyone Says I Love You (1996),"Postino, Il (1994)",Ulee's Gold (1997),"Edge, The (1997)"
Switchback (1997),2.823529411764706,17,Absolute Power (1997),Beauty and the Beast (1991),Casablanca (1942),"Close Shave, A (1995)"
Switchblade Sisters (1975),3.230769230769231,13,Good Will Hunting (1997),"Ice Storm, The (1997)",Crimson Tide (1995),Amistad (1997)
"Sword in the Stone, The (1963)",3.3292682926829267,82,Kiss the Girls (1997),Scream 2 (1997),In & Out (1997),Primal Fear (1996)
"Symphonie pastorale, La (1946)",1.0,1,,,,
T-Men (1947),1.0,1,,,,
Tainted (1998),3.0,1,,,,
Tales From the Crypt Presents: Demon Knight (1995),2.9767441860465116,43,"Room with a View, A (1986)",In & Out (1997),101 Dalmatians (1996),Grumpier Old Men (1995)
Tales from the Crypt Presents: Bordello of Blood (1996),2.6363636363636362,55,Arsenic and Old Lace (1944),"Deer Hunter, The (1978)",Scream 2 (1997),"Peacemaker, The (1997)"
Tales from the Hood (1995),2.037037037037037,27,Kolya (1996),In & Out (1997),Seven Years in Tibet (1997),Mr. Smith Goes to Washington (1939)
Talking About Sex (1994),1.8,5,"Full Monty, The (1997)","Fish Called Wanda, A (1988)",Executive Decision (1996),"English Patient, The (1996)"
"Tango Lesson, The (1997)",3.3846153846153846,13,Down Periscope (1996),Cop Land (1997),"Piano, The (1993)",That Thing You Do! (1996)
